,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
0,La Macarena,43,CO,37,2.18,-73.78,92.12,5.77
1,Upernavik,100,GL,91,72.79,-56.15,27.82,10.65
2,Thompson,75,CA,53,55.74,-97.86,24.8,9.17
3,East London,0,ZA,64,-33.02,27.91,64.27,6.89
4,Provideniya,90,RU,80,64.38,-173.3,30.2,15.66
5,Tual,94,ID,75,-5.67,132.75,83.39,4.81
6,Ribeira Grande,40,PT,67,38.52,-28.7,60.8,4.7
7,Torbay,75,CA,55,47.67,-52.73,43,19.46
8,Lavrentiya,100,RU,97,65.58,-171,27.48,12.1
9,Clyde River,75,CA,84,70.47,-68.59,8.6,18.34
10,Saint-Philippe,27,RE,61,-21.36,55.77,77,18.34
11,Bluff,100,NZ,95,-46.6,168.33,44.01,4
12,Port Hardy,20,CA,76,50.7,-127.42,51.8,5.82
13,Oudtshoorn,53,ZA,87,-33.59,22.2,59,3.36
14,Buala,100,SB,84,-8.14,159.59,79.16,6.91
15,Wanning,100,CN,81,18.8,110.4,75.36,8.16
16,Pontes E Lacerda,1,BR,65,-15.23,-59.34,73.09,4.7
17,Airai,11,TL,67,-8.93,125.41,61.32,3.02
18,Yulara,3,AU,49,-25.24,130.99,69.8,4.7
19,Khani,90,GE,87,41.96,42.96,46.4,2.24
20,Mahebourg,40,MU,69,-20.41,57.7,77,18.34
21,Mar Del Plata,0,AR,72,-38,-57.56,66,8.05
22,Nueve De Julio,0,AR,49,-35.44,-60.88,65.23,4.23
23,Fare,4,PF,71,-16.7,-151.02,83.71,8.7
24,Bredasdorp,100,ZA,82,-34.53,20.04,62.01,3.36
25,Paita,77,PE,100,-5.09,-81.11,62.6,19.46
26,Jamestown,90,US,71,42.1,-79.24,39.2,17.22
27,Cherskiy,43,RU,92,68.75,161.3,5.38,0.78
28,Hobart,20,AU,61,-42.88,147.33,46.4,16.11
29,Kaeo,99,NZ,93,-35.1,173.78,62.01,5.01
30,Itarema,48,BR,88,-2.92,-39.92,79.38,7.76
31,Barrow,90,US,85,71.29,-156.79,17.6,11.41
32,Mapiri,76,BO,43,-15.25,-68.17,74.41,1.48
33,Tuktoyaktuk,90,CA,85,69.45,-133.04,21.2,16.11
34,Qaanaaq,100,GL,83,77.48,-69.36,15.87,0.98
35,Balkhash,45,KZ,46,46.84,74.98,47.57,11.36
36,Matara,62,LK,83,5.95,80.54,78.62,2.91
37,Qeshm,58,IR,88,26.96,56.27,68,4.7
38,Indramayu,93,ID,78,-6.33,108.32,80.64,3.44
39,Avarua,84,CK,65,-21.21,-159.78,80.6,4.7
40,Cabo San Lucas,40,MX,47,22.89,-109.91,84.99,8.05
41,Negombo,58,LK,84,7.21,79.84,78.82,4.5
42,Illoqqortoormiut,,,,,,,
43,Mataura,100,NZ,95,-46.19,168.86,44.01,4
44,Ostrovnoy,100,RU,95,68.05,39.51,33.85,18.32
45,Copala,4,MX,47,16.65,-98.98,86.49,10.18
46,Ponta Do Sol,20,PT,59,32.67,-17.1,64.4,13.87
47,Yellowknife,75,CA,68,62.46,-114.35,30.2,10.29
48,Henties Bay,0,NA,89,-22.12,14.28,57.99,1.01
49,Pisco,0,PE,30,-13.7,-76.22,82,18.34
50,Pokhara,9,NP,31,28.23,83.98,63.46,3.96
51,Tsiroanomandidy,1,MG,62,-18.77,46.03,64.18,4.27
52,Lompoc,1,US,72,34.64,-120.46,69.01,14.99
53,Dikson,0,RU,85,73.51,80.55,-0.67,9.73
54,Faanui,27,PF,69,-16.48,-151.75,82.99,10.22
55,Auki,100,SB,85,-8.77,160.7,78.17,5.41
56,Hatillo,12,PR,76,18.49,-66.83,84.99,1.99
57,Ushuaia,99,AR,58,-54.8,-68.3,57.2,4.7
58,Sembakung,50,ID,91,3.82,117.25,74.57,2.53
59,Redwater,1,US,28,33.36,-94.25,72,10.29
60,Butaritari,100,KI,76,3.07,172.79,83.71,12.26
61,Sinnamary,99,GF,81,5.38,-52.95,80.64,11.65
62,Vaini,75,TO,83,-21.2,-175.2,77,4.7
63,Inuvik,90,CA,86,68.35,-133.72,35.6,13.87
64,Severo-Kurilsk,100,RU,95,50.68,156.12,30.85,12.84
65,High Rock,90,BS,83,26.62,-78.28,82.4,11.41
66,Lebu,11,CL,67,-37.62,-73.65,63.52,10.69
67,Tingo Maria,75,PE,78,-9.29,-76.01,80.6,2.24
68,Lorengau,99,PG,69,-2.02,147.27,83.3,2.17
69,Busselton,17,AU,56,-33.65,115.33,55.99,9.19
70,Mount Gambier,75,AU,93,-37.83,140.77,55.4,16.11
71,Avera,1,US,28,33.19,-82.53,71.6,5.82
72,Krasnoarmeysk,100,RU,64,51.02,45.7,44.01,5.99
73,Khlung,100,TH,81,12.45,102.22,80.19,2.62
74,Nome,90,US,100,64.5,-165.41,34,14.99
75,Rikitea,34,PF,76,-23.12,-134.97,76.37,12.3
76,Pusad,81,IN,17,19.9,77.58,86.94,1.43
77,Balabac,51,PH,80,7.99,117.06,81.34,9.8
78,Danshui,20,CN,83,22.8,114.47,73.99,4.47
79,Oistins,40,BB,62,13.07,-59.53,84.2,17.22
80,Havre-Saint-Pierre,90,CA,54,50.23,-63.6,28.4,28.86
81,Elat,28,IL,49,29.56,34.95,71.6,18.34
82,Virginia Beach,20,US,41,36.85,-75.98,64.4,11.41
83,Hermanus,100,ZA,92,-34.42,19.23,62.01,1.21
84,Kapaa,20,US,69,22.08,-159.32,78.8,11.41
85,Port Alfred,0,ZA,89,-33.59,26.89,60.01,3
86,Jalu,67,LY,36,29.03,21.55,69.91,11.16
87,Carnarvon,29,AU,73,-24.87,113.63,75.2,9.17
88,Hami,95,CN,23,42.8,93.45,63.16,6.49
89,Kjollefjord,75,NO,80,70.95,27.35,35.6,14.99
90,Yar-Sale,97,RU,98,66.83,70.83,16.97,10.83
91,New Norfolk,20,AU,61,-42.78,147.06,46.4,16.11
92,Nanortalik,100,GL,96,60.14,-45.24,32.4,3.74
93,Simplicio Mendes,96,BR,85,-7.85,-41.91,75.51,3.24
94,Saint George,1,US,21,37.1,-113.58,73,4.7
95,Amderma,,,,,,,
96,Noumea,28,NC,93,-22.28,166.46,66.2,9.93
97,Mehamn,75,NO,80,71.04,27.85,35.6,14.99
98,Salym,100,RU,91,60.06,71.48,41.38,7.63
99,Cairns,90,AU,83,-16.92,145.77,77,3.36
100,Srednekolymsk,100,RU,92,67.45,153.68,-0.24,7.58
101,Beyneu,99,KZ,67,45.32,55.2,54.59,15.82
102,Port Macquarie,63,AU,68,-31.43,152.92,66.2,6.6
103,Darhan,2,MN,43,49.49,105.92,42.58,1.12
104,Necochea,26,AR,66,-38.55,-58.74,71.01,1.99
105,Souillac,40,MU,69,-20.52,57.52,77,18.34
106,Albany,40,US,33,42.6,-73.97,45,24.16
107,Manono,98,CD,78,-7.3,27.42,72.54,2.53
108,San Patricio,5,MX,69,19.22,-104.7,78.8,11.41
109,Plettenberg Bay,41,ZA,70,-34.05,23.37,61.57,5.61
110,Kruisfontein,4,ZA,61,-34,24.73,56.84,5.64
111,Palabuhanratu,,,,,,,
112,Panjwin,,,,,,,
113,Sitka,90,US,93,57.05,-135.33,44.6,3.36
114,Srivardhan,19,IN,88,18.03,73.02,79.5,0.2
115,Asfi,95,MA,85,32.3,-9.24,63.9,5.19
116,Louisbourg,,,,,,,
117,Talaja,84,IN,31,21.35,72.05,85.39,10.22
118,Sungairaya,100,ID,89,0.7,108.9,78.4,3.53
119,Cape Town,100,ZA,93,-33.93,18.42,62.01,4.7
120,Alipur,100,PK,20,29.38,70.91,88.45,8.1
121,Castro,0,BR,42,-24.79,-50.01,56.7,1.36
122,Manyana,0,BW,18,-23.4,21.72,66.58,10.22
123,Chuy,8,UY,82,-33.7,-53.46,65.39,10.87
124,Warangal,0,IN,42,18,79.58,80.28,11.65
125,Lieksa,99,FI,89,63.32,30.02,32.81,13.2
126,Abu Kamal,100,SY,37,34.45,40.92,70.47,5.86
127,Kushiro,0,JP,85,42.98,144.37,34.47,4.68
128,Salalah,40,OM,74,17.02,54.09,82.4,3.36
129,Hithadhoo,95,MV,69,-0.6,73.08,84.99,6.35
130,Khandyga,10,RU,84,62.67,135.6,-4.18,3.6
131,Belushya Guba,,,,,,,
132,Arraial Do Cabo,40,BR,78,-22.97,-42.03,78.8,4.7
133,Katsuura,75,JP,66,35.13,140.3,48.99,9.17
134,Nikolskoye,20,RU,74,59.7,30.79,37.4,11.18
135,Mulki,31,IN,80,13.1,74.8,80.2,1.61
136,Oussouye,29,SN,58,12.48,-16.55,74.93,10.58
137,Caxito,40,AO,78,-8.58,13.66,82.4,16.11
138,Manta,40,EC,74,-0.95,-80.73,84.2,6.93
139,Englewood,90,US,86,39.65,-104.99,32,12.75
140,Nizhneyansk,,,,,,,
141,Hirara,0,JP,69,24.8,125.28,70.52,13.04
142,Guerrero Negro,100,MX,26,27.98,-114.06,76.08,13.06
143,San Pedro,20,PH,74,14.35,121.02,82.4,6.93
144,Beroroha,40,MG,56,-21.67,45.17,75.85,12.91
145,Padang,99,ID,80,-0.95,100.35,77.09,2.95
146,Taolanaro,,,,,,,
